gisjoin,fips,adi_natrank,adi_staternk
G37002300206001,370230206001,81,8
G37002300206002,370230206002,74,7
G37002300206003,370230206003,69,6
G37002300206004,370230206004,85,9
G37002300208011,370230208011,61,5
G37002300208012,370230208012,67,6
G37002300208013,370230208013,69,6
G37002300208021,370230208021,55,5
G37002300208022,370230208022,75,7
G37002300209001,370230209001,62,6
G37002300209002,370230209002,49,4
G37002300209003,370230209003,71,7
G37002300209004,370230209004,52,4
G37002300209005,370230209005,83,9
G37002300210001,370230210001,85,9
G37002300210002,370230210002,84,9
G37002300210003,370230210003,65,6
G37002300210004,370230210004,83,9
G37002300211001,370230211001,80,8
G37002300211002,370230211002,73,7
G37002300211003,370230211003,63,6
G37002300212011,370230212011,82,8
G37002300212012,370230212012,69,6
G37002300212013,370230212013,79,8
G37002300212021,370230212021,77,8
G37002300212022,370230212022,72,7
G37002300212023,370230212023,63,6
G37002300212031,370230212031,85,9
G37002300212032,370230212032,66,6
G37002300213011,370230213011,57,5
G37002300213012,370230213012,74,7
G37002300213021,370230213021,75,7
G37002300213022,370230213022,71,7
G37002300213023,370230213023,76,7
G37002300214001,370230214001,82,8
G37002300214002,370230214002,70,7
G37002300214003,370230214003,74,7
G37002500405001,370250405001,45,3
G37002500405002,370250405002,49,4
G37002500405003,370250405003,51,4
G37002500405004,370250405004,50,4
G37002500406001,370250406001,52,4
G37002500406002,370250406002,45,3
G37002500406003,370250406003,39,3
G37002500407011,370250407011,67,6
G37002500407012,370250407012,77,8
G37002500407021,370250407021,81,8
G37002500407022,370250407022,51,4
G37002500407023,370250407023,55,5
G37002500407031,370250407031,100,10
G37002500407032,370250407032,84,9
G37002500408001,370250408001,61,5
G37002500408002,370250408002,80,8
G37002500408003,370250408003,82,8
G37002500409001,370250409001,62,6
G37002500410001,370250410001,86,9
G37002500410002,370250410002,98,10
G37002500410003,370250410003,62,6
G37002500410004,370250410004,65,6
G37002500411001,370250411001,45,3
G37002500411002,370250411002,56,5
G37002500411003,370250411003,53,4
G37002500411004,370250411004,43,3
G37002500412001,370250412001,83,9
G37002500412002,370250412002,34,2
G37002500412003,370250412003,46,3
G37002500413011,370250413011,23,1
G37002500413021,370250413021,25,2
G37002500413022,370250413022,23,1
G37002500413023,370250413023,25,2
G37002500413031,370250413031,12,1
G37002500413032,370250413032,28,2
G37002500415011,370250415011,25,2
G37002500415012,370250415012,17,1
G37002500415021,370250415021,22,1
G37002500415022,370250415022,48,4
G37002500415023,370250415023,24,2
G37002500415031,370250415031,37,3
G37002500416011,370250416011,36,2
G37002500416012,370250416012,55,5
G37002500416013,370250416013,39,3
G37002500416014,370250416014,36,2
G37002500416021,370250416021,44,3
G37002500417011,370250417011,57,5
G37002500417012,370250417012,56,5
G37002500417013,370250417013,45,3
G37002500417021,370250417021,64,6
G37002500417022,370250417022,41,3
G37002500419011,370250419011,83,9
G37002500419012,370250419012,84,9
G37002500419021,370250419021,86,9
G37002500419022,370250419022,68,6
G37002500419023,370250419023,71,7
G37002500420001,370250420001,91,10
G37002500420002,370250420002,46,3
G37002500420003,370250420003,61,5
G37002500421011,370250421011,89,9
G37002500421012,370250421012,86,9
G37002500421013,370250421013,79,8
